,_id,country,city,confirmed,deaths,population,lat,long
172,61eab83a50fb09bc0bd861f1,Colombia_Meta,True,96570,2331,0,3.272,-73.0877
173,61eab83a50fb09bc0bd861f2,Colombia_Narino,True,100112,3076,0,1.2892,-77.3579
174,61eab83a50fb09bc0bd861f3,Colombia_Norte de Santander,True,107268,4768,0,7.9463,-72.8988
175,61eab83a50fb09bc0bd861f4,Colombia_Putumayo,True,19038,729,0,0.436,-75.5277
176,61eab83a50fb09bc0bd861f5,Colombia_Quindio,True,66586,1901,0,4.461,-75.6674
177,61eab83a50fb09bc0bd861f6,Colombia_Risaralda,True,100139,2318,0,5.3158,-75.9928
178,61eab83a50fb09bc0bd861f7,Colombia_San Andres y Providencia,True,9402,152,0,12.5567,-81.7185
179,61eab83a50fb09bc0bd861f8,Colombia_Santander,True,253203,7617,0,6.6437,-73.6536
180,61eab83a50fb09bc0bd861f9,Colombia_Sucre,True,62291,1634,0,8.814,-74.7233
181,61eab83a50fb09bc0bd861fa,Colombia_Tolima,True,117842,3727,0,4.0925,-75.1545
182,61eab83a50fb09bc0bd861fb,Colombia_Unknown,True,0,296,0,,
183,61eab83a50fb09bc0bd861fc,Colombia_Valle del Cauca,True,513522,13799,0,3.8009,-76.6413
184,61eab83a50fb09bc0bd861fd,Colombia_Vaupes,True,1819,17,0,0.8554,-70.812
185,61eab83a50fb09bc0bd861fe,Colombia_Vichada,True,3126,58,0,4.4234,-69.2878
186,61eab83a50fb09bc0bd861ff,Comoros,False,7784,159,813912,-11.6455,43.3333
187,61eab83a50fb09bc0bd86200,Congo (Brazzaville),False,23244,371,0,-0.228,15.8277
188,61eab83a50fb09bc0bd86201,Congo (Kinshasa),False,84198,1278,0,-4.0383,21.7587
189,61eab83a50fb09bc0bd86202,Costa Rica,False,637327,7441,4905769,9.7489,-83.7534
190,61eab83a50fb09bc0bd86203,Cote d'Ivoire,False,79558,764,24294750,7.54,-5.5471
191,61eab83a50fb09bc0bd86204,Croatia,False,848150,13300,4189353,45.1,15.2
192,61eab83a50fb09bc0bd86205,Cuba,False,1011811,8352,11484636,21.521757,-77.78116700000002
193,61eab83a50fb09bc0bd86206,Cyprus,False,235364,700,1179551,35.1264,33.4299
194,61eab83a50fb09bc0bd86207,Czechia,False,2678767,36972,10618303,49.8175,15.472999999999999
195,61eab83a50fb09bc0bd86208,Denmark,False,1272864,3550,5733551,56.2639,9.5018
196,61eab83a50fb09bc0bd86209,Denmark_Faroe Islands,True,11948,15,0,61.8926,-6.9118
197,61eab83a50fb09bc0bd8620a,Denmark_Greenland,True,9256,4,0,71.7069,-42.6043
198,61eab83a50fb09bc0bd8620b,Diamond Princess,False,712,13,0,,
199,61eab83a50fb09bc0bd8620c,Djibouti,False,15200,189,956985,11.8251,42.5903
200,61eab83a50fb09bc0bd8620d,Dominica,False,8349,48,73925,15.415,-61.371
201,61eab83a50fb09bc0bd8620e,Dominican Republic,False,524635,4274,10766998,18.7357,-70.1627
202,61eab83a50fb09bc0bd8620f,Ecuador,False,629507,34232,16624858,-1.8312,-78.1834
203,61eab83a50fb09bc0bd86210,Egypt,False,405393,22260,97553151,26.820553000000004,30.802497999999996
204,61eab83a50fb09bc0bd86211,El Salvador,False,123577,3843,6377853,13.7942,-88.8965
205,61eab83a50fb09bc0bd86212,Equatorial Guinea,False,15558,179,1267689,1.6508,10.2679
206,61eab83a50fb09bc0bd86213,Eritrea,False,9160,89,5068831,15.1794,39.7823
207,61eab83a50fb09bc0bd86214,Estonia,False,278498,1994,1309632,58.5953,25.0136
208,61eab83a50fb09bc0bd86215,Eswatini,False,68003,1366,0,-26.5225,31.4659
209,61eab83a50fb09bc0bd86216,Ethiopia,False,460602,7212,104957438,9.145,40.4897
210,61eab83a50fb09bc0bd86217,Fiji,False,60509,752,905502,-17.7134,178.065
211,61eab83a50fb09bc0bd86218,Finland,False,371135,1724,5523231,61.92411,25.748151
212,61eab83a50fb09bc0bd86219,France,False,15254588,125462,64979548,46.2276,2.2137
213,61eab83a50fb09bc0bd8621a,France_French Guiana,True,71476,356,0,4.0,-53.0
214,61eab83a50fb09bc0bd8621b,France_French Polynesia,True,47275,636,0,-17.6797,-149.4068
215,61eab83a50fb09bc0bd8621c,France_Guadeloupe,True,73660,835,0,16.265,-61.551
